ind;firmeza
1378palmer_15ou16_DAC_num14lado2;7.1
1379palmer_15ou16_DAC_num15lado1;7.2
1380palmer_15ou16_DAC_num15lado2;10
1381palmer_15ou16_DAC_num16lado1;4.5
1382palmer_15ou16_DAC_num16lado2;4.35
1383palmer_15ou16_DAC_num17lado1;6.85
1384palmer_15ou16_DAC_num17lado2;5.4
1385palmer_15ou16_DAC_num18lado1;8.4
1386palmer_15ou16_DAC_num18lado2;8.8
1387palmer_15ou16_DAC_num19lado1;5.35
1388palmer_15ou16_DAC_num19lado2;4.9
1389palmer_15ou16_DAC_num20lado1;5.95
1390palmer_15ou16_DAC_num20lado2;5.65
1391palmer_15ou16_DAC_num21lado1;5.75
1392palmer_15ou16_DAC_num21lado2;6.6
1393palmer_15ou16_DAC_num22lado1;3.8
1394palmer_15ou16_DAC_num22lado2;6.3
1395palmer_15ou16_DAC_num23lado1;5.55
1396palmer_15ou16_DAC_num23lado2;7
1397palmer_15ou16_DAC_num24lado1;6.05
1398palmer_15ou16_DAC_num24lado2;7.05
1399palmer_15ou16_DAC_num25lado1;4.4
1400palmer_15ou16_DAC_num25lado2;4.85
1401palmer_15ou16_DAC_num26lado1;5.5
1402palmer_15ou16_DAC_num26lado2;3.45
1403palmer_15ou16_DAC_num27lado1;4.35
1404palmer_15ou16_DAC_num27lado2;3.6
1405palmer_15ou16_DAC_num28lado1;7.3
1406palmer_15ou16_DAC_num28lado2;4
1407palmer_15ou16_DAC_num29lado1;3.6
1408palmer_15ou16_DAC_num29lado2;3.55
1409palmer_15ou16_DAC_num30lado1;4.45
1410palmer_15ou16_DAC_num30lado2;6.7
1471palmer_20_DAC_num1lado1;8.5
1472palmer_20_DAC_num1lado2;6.3
1473palmer_20_DAC_num2lado1;7.45
1474palmer_20_DAC_num2lado2;7.85
1475palmer_20_DAC_num3lado1;4.9
1476palmer_20_DAC_num3lado2;5.4
1477palmer_20_DAC_num4lado1;5.5
1478palmer_20_DAC_num4lado2;6.35
1479palmer_20_DAC_num5lado1;6.3
1480palmer_20_DAC_num5lado2;7.85
1481palmer_20_DAC_num6lado1;7.3
1482palmer_20_DAC_num6lado2;6.35
1483palmer_20_DAC_num7lado1;5.5
1484palmer_20_DAC_num7lado2;4.7
1485palmer_20_DAC_num8lado1;6.3
1486palmer_20_DAC_num8lado2;6
1487palmer_20_DAC_num9lado1;5.7
1488palmer_20_DAC_num9lado2;8.4
1489palmer_20_DAC_num10lado1;6.4
1490palmer_20_DAC_num10lado2;6.95
1491palmer_20_DAC_num11lado1;6.1
1492palmer_20_DAC_num11lado2;6.65
1493palmer_20_DAC_num12lado1;6.2
1494palmer_20_DAC_num12lado2;6.7
1495palmer_20_DAC_num13lado1;5.3
1496palmer_20_DAC_num13lado2;6.85
1497palmer_20_DAC_num14lado1;8.05
1498palmer_20_DAC_num14lado2;7.75
1499palmer_20_DAC_num15lado1;5.35
1500palmer_20_DAC_num15lado2;5.3
