ind;sst
1387palmer_15ou16_DAC_num19lado1;17.1
1388palmer_15ou16_DAC_num19lado2;15.3
1389palmer_15ou16_DAC_num20lado1;13.8
1390palmer_15ou16_DAC_num20lado2;14.6
1391palmer_15ou16_DAC_num21lado1;14.1
1392palmer_15ou16_DAC_num21lado2;14
1393palmer_15ou16_DAC_num22lado1;10.8
1394palmer_15ou16_DAC_num22lado2;10.5
1395palmer_15ou16_DAC_num23lado1;16.4
1396palmer_15ou16_DAC_num23lado2;17.4
1397palmer_15ou16_DAC_num24lado1;17.7
1398palmer_15ou16_DAC_num24lado2;17.7
1399palmer_15ou16_DAC_num25lado1;15.9
1400palmer_15ou16_DAC_num25lado2;16.8
1401palmer_15ou16_DAC_num26lado1;13.6
1402palmer_15ou16_DAC_num26lado2;14.2
1403palmer_15ou16_DAC_num27lado1;10.3
1404palmer_15ou16_DAC_num27lado2;13.2
1405palmer_15ou16_DAC_num28lado1;16.9
1406palmer_15ou16_DAC_num28lado2;16
1407palmer_15ou16_DAC_num29lado1;14.7
1408palmer_15ou16_DAC_num29lado2;14.7
1409palmer_15ou16_DAC_num30lado1;18.7
1410palmer_15ou16_DAC_num30lado2;19.7
1471palmer_20_DAC_num1lado1;14.5
1472palmer_20_DAC_num1lado2;12.6
1473palmer_20_DAC_num2lado1;16.8
1474palmer_20_DAC_num2lado2;16.4
1475palmer_20_DAC_num3lado1;16.5
1476palmer_20_DAC_num3lado2;15.1
1477palmer_20_DAC_num4lado1;12.1
1478palmer_20_DAC_num4lado2;13.6
1479palmer_20_DAC_num5lado1;13.2
1480palmer_20_DAC_num5lado2;12
1481palmer_20_DAC_num6lado1;9.9
1482palmer_20_DAC_num6lado2;11.8
1483palmer_20_DAC_num7lado1;14.1
1484palmer_20_DAC_num7lado2;12.5
1485palmer_20_DAC_num8lado1;14.5
1486palmer_20_DAC_num8lado2;13.1
1487palmer_20_DAC_num9lado1;14.3
1488palmer_20_DAC_num9lado2;14.2
1489palmer_20_DAC_num10lado1;15.4
1490palmer_20_DAC_num10lado2;14.1
1491palmer_20_DAC_num11lado1;14.4
1492palmer_20_DAC_num11lado2;13.3
1493palmer_20_DAC_num12lado1;13.4
1494palmer_20_DAC_num12lado2;12.6
1495palmer_20_DAC_num13lado1;11.3
1496palmer_20_DAC_num13lado2;15.3
1497palmer_20_DAC_num14lado1;14.6
1498palmer_20_DAC_num14lado2;13
1499palmer_20_DAC_num15lado1;16.4
1500palmer_20_DAC_num15lado2;14
