ind;time;dominant_HSV
0405palmer_sem4_num23;80;1.0
0407palmer_sem4_num24;80;1.0
0409palmer_sem4_num25;80;1.0
0411palmer_sem4_num26;80;1.0
0413palmer_sem4_num27;80;1.0
0415palmer_sem4_num28;80;1.0
0417palmer_sem4_num29;80;1.0
0419palmer_sem4_num30;80;1.0
0421palmer_sem4_num31;80;1.0
0423palmer_sem4_num32;80;1.0
0425palmer_sem4_num33;80;1.0
0427palmer_sem4_num34;80;1.0
0429palmer_sem4_num35;80;1.0
0431palmer_sem4_num36;80;1.0
0433palmer_sem4_num37;80;1.0
0435palmer_sem4_num38;80;1.0
0437palmer_sem4_num39;80;1.0
0439palmer_sem4_num40;80;1.0
0441palmer_sem4_num41;80;1.0
0443palmer_sem4_num42;80;1.0
0445palmer_sem4_num43;80;1.0
0447palmer_sem4_num44;80;1.0
0449palmer_sem4_num45;80;1.0
0451palmer_sem4_num46;80;1.0
0453palmer_sem4_num47;80;1.0
0455palmer_sem4_num48;80;1.0
0457palmer_sem4_num49;80;1.0
0459palmer_sem4_num50;80;1.0
0461palmer_sem4_num51;80;1.0
0463palmer_sem4_num52;80;0.5
0465palmer_sem4_num53;80;1.0
0467palmer_sem4_num54;80;1.0
0469palmer_sem4_num55;80;1.0
0471palmer_sem4_num56;80;1.0
0473palmer_sem4_num57;80;1.0
0475palmer_sem4_num58;80;1.0
0477palmer_sem4_num59;80;1.0
0479palmer_sem4_num60;80;1.0
0481palmer_sem5_num1;95;1.0
0483palmer_sem5_num2;95;1.0
0485palmer_sem5_num3;95;1.0
0487palmer_sem5_num4;95;1.5
0489palmer_sem5_num5;95;2.0
0491palmer_sem5_num6;95;1.0
0493palmer_sem5_num7;95;1.5
0495palmer_sem5_num8;95;2.0
0497palmer_sem5_num9;95;2.5
0499palmer_sem5_num10;95;1.0
0501palmer_sem5_num11;95;1.0
0503palmer_sem5_num12;95;1.0
0505palmer_sem5_num13;95;1.0
0507palmer_sem5_num14;95;1.5
0509palmer_sem5_num15;95;1.0
0511palmer_sem5_num16;95;1.0
0513palmer_sem5_num17;95;1.0
0515palmer_sem5_num18;95;1.0
0517palmer_sem5_num19;95;2.5
0519palmer_sem5_num20;95;1.0
0521palmer_sem5_num21;95;2.5
0523palmer_sem5_num22;95;1.0
0525palmer_sem5_num23;95;1.0
0527palmer_sem5_num24;95;1.0
0529palmer_sem5_num25;95;1.5
0531palmer_sem5_num26;95;1.0
0533palmer_sem5_num27;95;1.0
0535palmer_sem5_num28;95;1.5
0537palmer_sem5_num29;95;1.0
0539palmer_sem5_num30;95;1.5
0541palmer_sem5_num31;95;1.0
0543palmer_sem5_num32;95;1.0
0545palmer_sem5_num33;95;1.0
0547palmer_sem5_num34;95;1.5
0549palmer_sem5_num35;95;2.0
0551palmer_sem5_num36;95;1.5
0553palmer_sem5_num37;95;1.0
0555palmer_sem5_num38;95;1.5
0557palmer_sem5_num39;95;1.0
0559palmer_sem5_num40;95;1.5
0561palmer_sem5_num41;95;1.5
0563palmer_sem5_num42;95;1.5
0565palmer_sem5_num43;95;1.0
0567palmer_sem5_num44;95;1.5
0569palmer_sem5_num45;95;1.0
0571palmer_sem5_num46;95;1.5
0573palmer_sem5_num47;95;1.5
0575palmer_sem5_num48;95;1.5
0577palmer_sem5_num49;95;1.0
0579palmer_sem5_num50;95;2.0
0581palmer_sem5_num51;95;1.5
0583palmer_sem5_num52;95;1.0
0585palmer_sem5_num53;95;1.0
0587palmer_sem5_num54;95;1.5
0589palmer_sem5_num55;95;1.5
0591palmer_sem5_num56;95;1.5
0593palmer_sem5_num57;95;2.0
0595palmer_sem5_num58;95;2.0
0597palmer_sem5_num59;95;2.0
0599palmer_sem5_num60;95;1.5
