;area;height;width;diameter
0301palmer_sem3_num31lado1;3865825.0;3033.0;1761.0;2218.585419366541
0302palmer_sem3_num31lado2;3893233.0;3023.0;1740.0;2226.436213428966
0303palmer_sem3_num32lado1;3537230.0;3010.0;1642.0;2122.201949585279
0304palmer_sem3_num32lado2;3543559.0;2953.0;1615.0;2124.099679370577
0305palmer_sem3_num33lado1;3612406.0;2982.0;1634.0;2144.6347406583177
0306palmer_sem3_num33lado2;3589908.0;2824.0;1598.0;2137.9459365384146
0307palmer_sem3_num34lado1;3867063.0;3040.0;1789.0;2218.9406331811115
0308palmer_sem3_num34lado2;3924323.0;2974.0;1748.0;2235.3083075749814
0309palmer_sem3_num35lado1;3837856.0;3194.0;1743.0;2210.545187549694
0310palmer_sem3_num35lado2;3830006.0;3103.0;1649.0;2208.2832915577073
0311palmer_sem3_num36lado1;3750810.0;3043.0;1695.0;2185.332838903057
0312palmer_sem3_num36lado2;3737625.0;2892.0;1667.0;2181.488471982092
0313palmer_sem3_num37lado1;3529858.0;2904.0;1636.0;2119.989337921248
0314palmer_sem3_num37lado2;3484050.0;2828.0;1613.0;2106.1885565719285
0315palmer_sem3_num38lado1;3375720.0;2829.0;1583.0;2073.186001292065
0316palmer_sem3_num38lado2;3434923.0;2825.0;1591.0;2091.286636671391
0317palmer_sem3_num39lado1;3171673.0;2835.0;1617.0;2009.5520611740337
0318palmer_sem3_num39lado2;3227405.0;2717.0;1569.0;2027.1308968283197
0319palmer_sem3_num40lado1;3801911.0;2965.0;1747.0;2200.1689550495
0320palmer_sem3_num40lado2;3830629.0;2851.0;1710.0;2208.4628871704663
0321palmer_sem3_num41lado1;3643416.0;2865.0;1724.0;2153.820171026543
0322palmer_sem3_num41lado2;3638286.0;2807.0;1713.0;2152.3033267307646
0323palmer_sem3_num42lado1;3522615.0;2930.0;1674.0;2117.813192629901
0324palmer_sem3_num42lado2;3539041.0;2831.0;1685.0;2122.745145239785
0325palmer_sem3_num43lado1;3272333.0;2835.0;1632.0;2041.1917546232273
0326palmer_sem3_num43lado2;3234226.0;2742.0;1580.0;2029.2718989358293
0327palmer_sem3_num44lado1;3798650.0;3035.0;1750.0;2199.2251809690215
0328palmer_sem3_num44lado2;3768661.0;2822.0;1686.0;2190.5269265410006
0329palmer_sem3_num45lado1;3522318.0;2885.0;1765.0;2117.7239118290345
0330palmer_sem3_num45lado2;3494323.0;2771.0;1694.0;2109.291403689307
0331palmer_sem3_num46lado1;3508759.0;3016.0;1675.0;2113.6439415723275
0332palmer_sem3_num46lado2;3514284.0;2940.0;1597.0;2115.307391428032
0333palmer_sem3_num47lado1;3406537.0;2914.0;1718.0;2082.6275756849777
0334palmer_sem3_num47lado2;3420186.0;2794.0;1683.0;2086.795645373446
0335palmer_sem3_num48lado1;3573028.0;2993.0;1666.0;2132.9136278916662
0336palmer_sem3_num48lado2;3560667.0;2917.0;1616.0;2129.220991356585
0337palmer_sem3_num49lado1;3539455.0;2838.0;1688.0;2122.869301867309
0338palmer_sem3_num49lado2;3518584.0;2806.0;1683.0;2116.601117422087
0339palmer_sem3_num50lado1;3195885.0;2769.0;1603.0;2017.2077638225408
0340palmer_sem3_num50lado2;3208859.0;2724.0;1546.0;2021.2981403739848
0341palmer_sem3_num51lado1;3320971.0;2989.0;1542.0;2056.3053285246037
