ind;time;area;height;width;diameter
0543palmer_sem5_num32;95;4905722.0;3307.5;2015.0;2499.159890354625
0545palmer_sem5_num33;95;4799462.5;3262.0;2017.0;2472.002203060795
0547palmer_sem5_num34;95;5343193.0;3487.0;2091.0;2608.287297369915
0549palmer_sem5_num35;95;4908819.0;3332.5;1952.5;2500.02021876828
0551palmer_sem5_num36;95;5230095.5;3573.0;2017.5;2580.5276024958357
0553palmer_sem5_num37;95;5221438.0;3450.5;2031.5;2578.3965415396137
0555palmer_sem5_num38;95;5106657.0;3432.5;2006.0;2549.899159497141
0557palmer_sem5_num39;95;5138696.5;3434.0;2006.0;2557.883646466354
0559palmer_sem5_num40;95;5069952.0;3464.0;2015.0;2540.720401493859
0561palmer_sem5_num41;95;4852017.0;3359.5;1983.5;2485.511937199495
0563palmer_sem5_num42;95;5954219.0;3624.5;2239.5;2753.3670574090334
0565palmer_sem5_num43;95;4847046.5;3405.5;1977.5;2484.232916911964
0567palmer_sem5_num44;95;5032654.0;3440.0;2007.5;2531.3581368184828
0569palmer_sem5_num45;95;4981263.0;3419.0;1996.5;2518.399679083669
0571palmer_sem5_num46;95;5466408.5;3737.5;2014.0;2638.1901856128743
0573palmer_sem5_num47;95;4859082.5;3394.5;1929.5;2487.296535276745
0575palmer_sem5_num48;95;4910187.5;3411.5;1977.0;2500.3538979091572
0577palmer_sem5_num49;95;4992469.5;3406.0;1967.5;2521.2317464407643
0579palmer_sem5_num50;95;5454595.0;3464.0;2115.5;2635.336753060256
0581palmer_sem5_num51;95;4587446.5;3329.0;1923.0;2416.795509206411
0583palmer_sem5_num52;95;4922594.0;3453.5;1979.0;2503.522072115265
0585palmer_sem5_num53;95;5149000.0;3470.0;2084.5;2560.446985516589
0587palmer_sem5_num54;95;5404108.0;3526.0;2098.0;2623.1032961792816
0589palmer_sem5_num55;95;4921774.5;3403.5;1949.5;2503.293922634007
0591palmer_sem5_num56;95;4906755.0;3501.5;1971.5;2499.4895064599923
0593palmer_sem5_num57;95;4963307.5;3407.0;2015.5;2513.8417777249565
0595palmer_sem5_num58;95;5156837.5;3490.5;2007.0;2562.395374756087
0597palmer_sem5_num59;95;4642624.0;3352.0;1906.5;2431.2902813113237
0599palmer_sem5_num60;95;5348921.5;3418.5;2109.0;2609.684685358855
0601palmer_sem6_num1;110;4804182.0;3285.0;1963.5;2473.221663359749
0603palmer_sem6_num2;110;5323732.0;3425.0;2039.0;2603.5308236946385
0605palmer_sem6_num3;110;5141878.0;3343.5;1997.0;2558.6439642123755
0607palmer_sem6_num4;110;5110115.5;3434.5;1987.5;2550.7647233287553
0609palmer_sem6_num5;110;5340638.0;3394.0;2070.5;2607.574199028948
0611palmer_sem6_num6;110;5688350.5;3648.5;2087.5;2691.2128988960817
0613palmer_sem6_num7;110;5435826.0;3472.5;2090.5;2630.782485490071
0615palmer_sem6_num8;110;5483477.5;3422.5;2062.5;2642.303314549977
0617palmer_sem6_num9;110;4923935.5;3350.5;1985.5;2503.840966368491
0619palmer_sem6_num10;110;5079110.0;3320.0;2013.0;2543.01434056764
0621palmer_sem6_num11;110;5073159.5;3436.0;1960.0;2541.5243872055044
0623palmer_sem6_num12;110;5930040.5;3693.5;2101.0;2747.783999205405
0625palmer_sem6_num13;110;5652383.5;3713.0;2152.0;2682.6849550696193
0627palmer_sem6_num14;110;4992423.5;3355.0;1945.5;2521.1794272590914
0629palmer_sem6_num15;110;5581517.5;3500.5;2088.0;2665.8168470049513
0631palmer_sem6_num16;110;4860595.0;3400.5;1924.5;2487.706634899191
0633palmer_sem6_num17;110;4875805.5;3185.0;1989.0;2491.575668376617
0635palmer_sem6_num18;110;5403035.0;3446.0;2036.0;2622.8335769206724
0637palmer_sem6_num19;110;4813454.5;3260.5;1999.0;2475.616554180321
0639palmer_sem6_num20;110;4707291.0;3233.0;1919.0;2448.16413829083
0641palmer_sem6_num21;110;5042082.0;3384.5;1954.5;2533.7280398677794
0643palmer_sem6_num22;110;4939654.5;3292.5;2016.5;2507.833047444964
0645palmer_sem6_num23;110;5144121.0;3436.5;1996.0;2559.2378196650416
0647palmer_sem6_num24;110;5227315.5;3305.5;2081.0;2579.84138601466
0649palmer_sem6_num25;110;5241973.5;3677.0;2053.5;2583.461844116689
0651palmer_sem6_num26;110;4683625.5;3236.0;1899.5;2442.0014505394793
0653palmer_sem6_num27;110;5809328.5;3580.5;2178.5;2719.665060825953
0655palmer_sem6_num28;110;4865062.0;3316.0;1928.5;2488.839747974357
0657palmer_sem6_num29;110;5313564.0;3632.5;1992.5;2601.040928310712
0659palmer_sem6_num30;110;5619081.5;3574.5;2160.0;2674.777100935158
0661palmer_sem6_num31;110;5038283.5;3193.5;2039.5;2532.7538769304897
0663palmer_sem6_num32;110;4869115.0;3327.0;1917.5;2489.6709817488745
0665palmer_sem6_num33;110;5637775.0;3548.0;2079.5;2679.2223561958745
0667palmer_sem6_num34;110;5196034.5;3381.0;2011.5;2572.119071448124
0669palmer_sem6_num35;110;5167800.0;3443.0;1994.0;2565.121021246297
0671palmer_sem6_num36;110;5236232.0;3458.5;2009.5;2582.047484197593
0673palmer_sem6_num37;110;5371950.5;3451.0;2146.5;2615.297023233837
0675palmer_sem6_num38;110;4864170.0;3327.0;1930.5;2488.5843520341564
0677palmer_sem6_num39;110;5377135.5;3578.0;2039.0;2616.541191271751
0679palmer_sem6_num40;110;5937834.5;3759.0;2082.5;2749.583491396485
0681palmer_sem6_num41;110;5538383.5;3526.5;2087.0;2655.4907593624675
0683palmer_sem6_num42;110;5330628.0;3505.0;2025.0;2605.2165794285042
0685palmer_sem6_num43;110;4689879.5;3211.0;1920.5;2443.615942955971
0687palmer_sem6_num44;110;5084253.0;3477.5;1957.0;2544.3015460962115
0689palmer_sem6_num45;110;5658237.5;3674.0;2079.5;2684.0683509932996
0691palmer_sem6_num46;110;5145090.0;3312.0;2014.0;2559.4776333607997
0693palmer_sem6_num47;110;5554053.5;3682.0;2035.0;2659.2238959741308
0695palmer_sem6_num48;110;4486987.0;3292.5;1848.0;2390.184607144407
0697palmer_sem6_num49;110;5048973.5;3405.0;1983.5;2535.456512792944
0699palmer_sem6_num50;110;4851457.0;3346.5;1942.5;2485.370554999269
0701palmer_sem6_num51;110;5367292.5;3457.5;1978.5;2614.1565907403474
0703palmer_sem6_num52;110;5443704.5;3511.0;2042.0;2632.7036384670832
0705palmer_sem6_num53;110;4876365.0;3317.0;1924.0;2491.7408976841416
0707palmer_sem6_num54;110;5030948.5;3358.5;1935.5;2530.912677868195
0709palmer_sem6_num55;110;5149819.5;3440.0;1996.0;2560.64264147778
0711palmer_sem6_num56;110;5324139.5;3444.0;2069.0;2603.5880460421945
0713palmer_sem6_num57;110;5238667.0;3372.0;2067.5;2582.6420705428145
0715palmer_sem6_num58;110;4905781.5;3270.0;1902.0;2499.21846079597
0717palmer_sem6_num59;110;4857413.5;3267.0;1955.5;2486.8823498234874
0719palmer_sem6_num60;110;4982187.0;3352.5;1931.5;2518.564822047535
0721palmer_sem7_num1;125;5746454.5;3500.0;2175.5;2704.923864048028
0723palmer_sem7_num2;125;5976249.0;3697.0;2201.5;2758.443460860008
0725palmer_sem7_num3;125;5542929.0;3662.0;2095.0;2656.5876559658336
0727palmer_sem7_num4;125;5184480.5;3477.5;1999.0;2569.255273183884
0729palmer_sem7_num5;125;5472187.5;3595.0;2095.0;2639.580543937309
0731palmer_sem7_num6;125;5203683.5;3439.5;1986.5;2574.001403130929
