;RG_diff_full;RB_diff_full;GB_diff_full;apex_R;apex_G;apex_B;equator_R;equator_G;equator_B;stalk_R;stalk_G;stalk_B;apex_equator_R_diff;equator_stalk_R_diff;apex_stalk_R_diff;apex_equator_G_diff;equator_stalk_G_diff;apex_stalk_G_diff;apex_equator_B_diff;equator_stalk_B_diff;apex_stalk_B_diff
0040palmer_sem1_num20lado2;-0.9970967964802995;19.41461574833653;20.41171254481683;42.366368786014256;37.87360168042597;29.444555444555444;52.35202256466703;51.94127224362502;31.957484865162357;50.323282172016725;58.53520700202913;28.633155531446825;-9.985653778652775;2.028740392650306;-7.956913386002469;-14.067670563199052;-6.59393475840411;-20.66160532160316;-2.5129294206069126;3.324329333715532;0.8113999131086196
0041palmer_sem1_num21lado1;-9.398245090381856;14.624713502844642;24.022958593226498;30.371960260972717;37.64247321792638;24.678191587919216;45.97529411764706;51.6868842364532;33.58972978910369;49.58816550496812;68.56050102644967;27.858434715685405;-15.603333856674343;-3.612871387321057;-19.2162052439954;-14.044411018526823;-16.87361678999647;-30.91802780852329;-8.911538201184477;5.731295073418288;-3.1802431277661896
0042palmer_sem1_num21lado2;-5.345111380784218;16.84727649950116;22.192387880285377;33.704261156275955;34.28071588592142;24.906574481458204;49.39680187117168;54.115576609026995;31.338570651733754;51.7160069379917;63.82795665538548;29.882585650044042;-15.692540714895728;-2.319205066820018;-18.011745781715746;-19.834860723105578;-9.712380046358483;-29.54724076946406;-6.43199617027555;1.4559850016897116;-4.976011168585838
0043palmer_sem1_num22lado1;0.6428101220145237;18.168751746317277;17.525941624302753;44.040160115493144;38.703530650521536;33.5316476506757;47.39234056351403;44.49856365110622;29.55332785728334;56.14858209423427;62.456523107920916;32.591870249304016;-3.3521804480208885;-8.756241530720239;-12.108421978741127;-5.795033000584681;-17.9579594568147;-23.75299245739938;3.9783197933923624;-3.038542392020677;0.9397774013716855
0044palmer_sem1_num22lado2;-17.90014674418228;26.82972948982828;44.72987623401056;37.94652831015223;50.65726093382232;26.94522306914734;55.799461688237315;75.68546622836656;28.553459767745483;67.97320344654014;87.02121909570124;31.618224271442926;-17.852933378085083;-12.173741758302825;-30.026675136387908;-25.028205294544243;-11.335752867334676;-36.36395816187892;-1.6082366985981444;-3.064764503697443;-4.673001202295588
0045palmer_sem1_num23lado1;-15.407882258501736;24.699572566753538;40.107454825255274;35.17702108180963;43.67631277813096;26.772878683855875;53.46912663126032;69.73477668030198;29.07605308969142;66.21162708259483;86.62463377822498;30.702229815311203;-18.292105549450696;-12.742500451334507;-31.034606000785203;-26.058463902171013;-16.889857097923;-42.94832100009401;-2.303174405835545;-1.626176725619782;-3.929351131455327
0046palmer_sem1_num23lado2;-8.08856603481221;16.348139156731555;24.436705191543766;36.498240965948575;40.68146973875654;28.202478621348266;45.08634779263473;52.05233825741235;27.646357662192393;50.28157191315086;66.26522501095324;28.203005762342315;-8.588106826686158;-5.19522412051613;-13.783330947202288;-11.370868518655811;-14.212886753540893;-25.583755272196704;0.5561209591558729;-0.5566481001499213;-0.0005271409940483807
0047palmer_sem1_num24lado1;-0.4311466719651449;15.46957668643941;15.900723358404555;35.52993366732906;37.26965096083814;26.649942572204946;41.545014092620406;40.99641005595787;26.62713380774135;46.848427756401755;51.11093119558293;28.374649748876553;-6.015080425291345;-5.303413663781349;-11.318494089072693;-3.726759095119725;-10.114521139625062;-13.841280234744787;0.022808764463594144;-1.7475159411352017;-1.7247071766716076
0048palmer_sem1_num24lado2;-15.398746351296225;17.229931674556;32.628678025852224;30.725378186819;42.22847244261081;25.806146196974506;44.0826988595905;59.68750684571403;28.52754861681731;53.70370069244007;71.40976489900018;28.282898738797194;-13.3573206727715;-9.621001832849572;-22.978322505621072;-17.459034403103225;-11.722258053286147;-29.18129245638937;-2.7214024198428035;0.24464987802011606;-2.4767525418226874
0049palmer_sem1_num25lado1;-18.533388416772418;28.521495435113902;47.054883851886316;37.02965554359526;49.84691238279987;28.6017832610511;57.25858147229115;78.28380893300248;28.418611383963192;72.31522645357413;92.50417891669127;32.619400312124235;-20.228925928695887;-15.056644981282979;-35.285570909978865;-28.436896550202604;-14.220369983688798;-42.6572665338914;0.18317187708790783;-4.200788928161042;-4.017617051073135
0050palmer_sem1_num25lado2;-5.6120949973136405;19.184947819460877;24.797042816774518;38.869376350658136;42.11046778387118;27.154556542951735;52.528350404544675;55.79935630402256;31.63461703958692;50.50288694114281;63.827359571034414;28.449686717604784;-13.658974053886539;2.025463463401863;-11.633510590484676;-13.68888852015138;-8.028003267011854;-21.716891787163235;-4.480060496635186;3.1849303219821365;-1.2951301746530497
0051palmer_sem1_num26lado1;-8.898757327161157;13.300849745525063;22.19960707268622;31.654820785247605;34.030714743687604;28.852264404296875;41.58284077939018;48.679944956933895;29.182298775643247;50.48703926501148;67.51186724038699;30.182162176930223;-9.928019994142577;-8.9041984856213;-18.832218479763878;-14.649230213246291;-18.831922283453096;-33.48115249669939;-0.3300343713463718;-0.9998634012869765;-1.3298977726333483
0052palmer_sem1_num26lado2;-2.9818394726856567;16.500543189259883;19.48238266194554;36.743709499938866;34.45316554864613;27.80936552937726;49.17782569708356;49.09912439935932;31.250710121094333;48.43962549332438;62.21162634220191;28.75642280059266;-12.434116197144697;0.7382002037591846;-11.695915993385512;-14.645958850713185;-13.112501942842592;-27.758460793555777;-3.4413445917170726;2.494287320501673;-0.9470572712153995
0053palmer_sem1_num27lado1;-18.118067769932175;30.07801225358496;48.19608002351713;43.18163259676129;56.57897068187481;30.93430818655146;61.351878621644;82.65867368369037;29.043407346999295;73.55219695619054;90.7833595740882;35.10189435572509;-18.170246024882708;-12.200318334546544;-30.370564359429252;-26.07970300181556;-8.124685890397828;-34.20438889221339;1.8909008395521631;-6.058487008725798;-4.167586169173635
0054palmer_sem1_num27lado2;6.990391891013907;18.864495409881137;11.87410351886723;43.79728690821616;44.308118172790465;30.985253000123716;55.87358306147578;43.006994338520904;35.23775505024871;52.95854644649033;53.76536022117418;32.189767908587704;-12.07629615325962;2.9150366149854463;-9.161259538274173;1.3011238342695606;-10.758365882653273;-9.457242048383712;-4.252502050124992;3.047987141661004;-1.2045149084639881
0055palmer_sem1_num28lado1;0.6961090357028041;22.285320485976463;21.58921145027366;50.894705053352126;51.930180997299146;32.92667580866338;56.33276286367441;52.32333758152785;33.97924467076032;57.4108643457383;69.01165080954766;30.993806250207566;-5.4380578103222845;-1.078101482063886;-6.51615929238617;-0.3931565842287057;-16.68831322801981;-17.081469812248514;-1.0525688620969404;2.9854384205527573;1.9328695584558169
0056palmer_sem1_num28lado2;-16.120436576532654;30.158747413582255;46.27918399011491;36.09128602268444;48.44320323475996;27.55620653030459;64.32166962469718;82.52821609016712;31.16303953572724;74.31923659703423;90.090918393451;34.88933779218795;-28.230383602012736;-9.997566972337054;-38.22795057434979;-34.08501285540716;-7.562702303283885;-41.64771515869104;-3.6068330054226507;-3.726298256460712;-7.333131261883363
0057palmer_sem1_num29lado1;-13.041399307122013;18.813298564933035;31.85469787205505;34.83069281045751;44.58610414052698;28.267752562225475;50.25120674050769;63.78705180141355;30.0267235619922;53.83534552996074;69.99018895887366;29.531621225794044;-15.420513930050177;-3.58413878945305;-19.004652719503227;-19.20094766088657;-6.203137157460112;-25.404084818346682;-1.7589709997667242;0.4951023361981548;-1.2638686635685694
