ind;time;RG_diff_full;RB_diff_full;GB_diff_full;apex_R;apex_G;apex_B;equator_R;equator_G;equator_B;stalk_R;stalk_G;stalk_B;apex_equator_R_diff;equator_stalk_R_diff;apex_stalk_R_diff;apex_equator_G_diff;equator_stalk_G_diff;apex_stalk_G_diff;apex_equator_B_diff;equator_stalk_B_diff;apex_stalk_B_diff
0095palmer_sem1_num48;35;-10.14649854;22.1049185;32.25141703;38.68060505;47.79255243;27.35102792;53.93697988;64.41596064;31.15425201;62.55968188;75.90374701;31.85879683;-15.25637484;-8.622701992;-23.87907683;-16.62340821;-11.48778637;-28.11119458;-3.803224082;-0.704544821;-4.507768903
0097palmer_sem1_num49;35;-4.497707364;19.10368693;23.60139429;35.73997865;41.37399968;26.27338636;49.81396918;54.07308294;29.01402869;50.80230715;56.70939654;28.20452695;-14.07399053;-0.988337968;-15.0623285;-12.69908327;-2.636313595;-15.33539686;-2.74064233;0.809501748;-1.931140582
0099palmer_sem1_num50;35;-8.758930519;22.2394472;30.99837772;36.67303769;38.10418863;24.98293821;51.59807572;59.54916259;31.72083229;63.96455886;81.16149813;29.75917608;-14.92503804;-12.36648314;-27.29152118;-21.44497396;-21.61233555;-43.05730951;-6.737894074;1.96165621;-4.776237864
0101palmer_sem1_num51;35;-9.068747003;16.77673271;25.84547972;31.7763393;36.71321662;27.77955723;44.39040673;52.07128115;29.51563917;54.7642406;69.8925069;28.48658384;-12.61406743;-10.37383386;-22.9879013;-15.35806453;-17.82122576;-33.17929028;-1.736081941;1.029055327;-0.707026614
0103palmer_sem1_num52;35;-8.707171334;19.71483738;28.42200871;35.05143154;41.96486961;25.77214846;49.73964395;57.67424192;30.04267124;54.96525294;68.67849117;30.28661331;-14.68821242;-5.22560899;-19.91382141;-15.70937231;-11.00424925;-26.71362156;-4.27052278;-0.243942068;-4.514464848
0105palmer_sem1_num53;35;-7.753344424;13.76943811;21.52278254;37.61633003;40.81582108;27.06232441;45.98113102;54.18475187;32.55856294;45.13934772;57.64867554;28.71143733;-8.364800991;0.841783304;-7.523017687;-13.36893079;-3.463923664;-16.83285445;-5.496238524;3.847125603;-1.649112921
0107palmer_sem1_num54;35;-13.70624404;16.90642046;30.6126645;40.3854702;46.24137567;30.72838172;49.51728318;62.71809017;32.7808206;53.01207278;73.95401189;28.99109009;-9.131812974;-3.494789607;-12.62660258;-16.4767145;-11.23592172;-27.71263622;-2.052438883;3.789730509;1.737291627
0109palmer_sem1_num55;35;-5.775747814;20.20329521;25.97904302;37.75153267;40.57634298;28.58293894;53.5127303;59.5655314;30.67439719;58.02275325;68.64524561;30.07425863;-15.76119763;-4.510022954;-20.27122058;-18.98918842;-9.079714209;-28.06890263;-2.091458259;0.600138561;-1.491319698
0111palmer_sem1_num56;35;-12.43652389;24.45297595;36.88949984;38.34056652;48.18046284;25.68881122;59.35122747;72.69871732;33.13560633;63.78329889;77.85069324;33.00116826;-21.01066095;-4.432071417;-25.44273237;-24.51825448;-5.151975926;-29.6702304;-7.44679511;0.134438074;-7.312357036
0113palmer_sem1_num57;35;-9.942594134;17.99886954;27.94146367;31.95646204;36.60028127;24.88279551;50.86862442;60.04136488;32.25620555;53.27061347;69.81960574;28.30594754;-18.91216238;-2.401989051;-21.31415143;-23.44108362;-9.778240858;-33.21932448;-7.373410037;3.950258008;-3.42315203
0115palmer_sem1_num58;35;-7.747285124;19.2336426;26.98092772;35.24066518;42.12735545;27.32394819;48.69129521;56.2579126;30.54117189;57.818582;68.8887014;30.61819526;-13.45063003;-9.127286788;-22.57791682;-14.13055715;-12.6307888;-26.76134595;-3.217223699;-0.077023372;-3.294247071
0117palmer_sem1_num59;35;-9.010596948;19.13174403;28.14234098;32.75602765;37.90361878;27.46549712;48.63733002;57.13667813;29.55338361;55.89766388;68.98767153;29.10948577;-15.88130237;-7.260333865;-23.14163624;-19.23305935;-11.8509934;-31.08405275;-2.087886492;0.443897847;-1.643988645
0119palmer_sem1_num60;35;-10.5630686;13.421519;23.9845876;29.68067003;34.90300582;25.35337193;44.66292157;54.03090612;30.72195916;46.50155353;63.66342855;27.74385965;-14.98225154;-1.838631963;-16.8208835;-19.12790031;-9.632522431;-28.76042274;-5.36858723;2.978099507;-2.390487723
0121palmer_sem2_num1;50;-10.19165653;21.23988975;31.43154628;40.1497665;47.46950157;27.56158296;54.64708167;65.14658359;30.96634315;52.41439347;65.63717839;29.70114506;-14.49731517;2.232688192;-12.26462698;-17.67708202;-0.490594805;-18.16767683;-3.404760184;1.265198089;-2.139562096
0123palmer_sem2_num2;50;-13.10163592;21.66998092;34.77161684;36.81581637;45.92779182;23.4799186;58.13614589;72.01890986;32.94756374;49.01947728;64.59859584;26.91952328;-21.32032952;9.116668604;-12.20366092;-26.09111805;7.420314029;-18.67080402;-9.467645133;6.028040454;-3.439604679
0125palmer_sem2_num3;50;-11.68652932;18.54592335;30.23245267;38.89302639;46.9594808;25.07073157;53.88085387;66.08586192;32.0899993;45.68314737;60.22221919;29.0697157;-14.98782747;8.1977065;-6.790120973;-19.12638113;5.863642732;-13.2627384;-7.019267735;3.020283604;-3.998984131
0127palmer_sem2_num4;50;-14.8430777;16.90601837;31.74909607;37.9866745;48.24543839;26.93933764;49.71824314;64.08989446;30.91239172;45.28026566;64.80420602;28.00055856;-11.73156864;4.437977475;-7.293591165;-15.84445607;-0.714311563;-16.55876763;-3.97305408;2.911833155;-1.061220925
0129palmer_sem2_num5;50;-10.99748939;19.50185796;30.49934735;37.22825957;45.00547044;23.52801128;52.68284007;64.11398319;30.21182933;44.86672192;59.49237858;25.19750092;-15.4545805;7.816118153;-7.638462346;-19.10851275;4.621604616;-14.48690814;-6.683818053;5.014328419;-1.669489634
0131palmer_sem2_num6;50;-12.73837333;18.22993385;30.96830718;34.21311079;43.57953683;22.90171116;52.4882618;65.97361714;31.92051722;45.70055814;60.67940731;27.37905088;-18.275151;6.787703661;-11.48744734;-22.39408031;5.294209827;-17.09987048;-9.018806064;4.541466342;-4.477339722
0133palmer_sem2_num7;50;-12.75402678;22.21647949;34.97050626;41.83025626;49.67677556;26.04635313;60.9466725;74.3722718;33.17376667;52.90760183;68.75324978;31.71626434;-19.11641625;8.039070678;-11.07734557;-24.69549624;5.619022018;-19.07647422;-7.127413538;1.457502334;-5.669911205
0135palmer_sem2_num8;50;-17.9848145;22.3822639;40.36707839;38.05331173;46.995125;28.82270984;54.35514084;74.49021642;28.63064459;51.91311542;73.17289863;27.14073871;-16.30182911;2.442025424;-13.85980369;-27.49509142;1.317317784;-26.17777364;0.192065245;1.489905881;1.681971127
0137palmer_sem2_num9;50;-9.198674684;17.58524549;26.78392018;39.11099519;44.6285898;26.04362364;53.75777508;63.33648521;33.43772837;47.20160952;60.18920246;29.84592662;-14.64677989;6.556165558;-8.090614328;-18.70789541;3.147282755;-15.56061266;-7.39410473;3.59180175;-3.80230298
0139palmer_sem2_num10;50;-12.17525408;19.46302791;31.63828199;37.87810272;44.45584267;27.28655417;56.67570186;69.12569933;32.68026614;48.54139418;65.47944607;27.91393646;-18.79759914;8.134307678;-10.66329146;-24.66985667;3.646253264;-21.0236034;-5.393711966;4.766329673;-0.627382292
0141palmer_sem2_num11;50;-7.544694099;18.60914111;26.15383521;45.0007214;47.54426536;29.94244023;53.71005458;62.10273293;31.87448048;46.60564857;58.53308829;29.81189702;-8.709333184;7.104406013;-1.604927171;-14.55846757;3.569644636;-10.98882294;-1.93204025;2.06258346;0.13054321
0143palmer_sem2_num12;50;-6.451231616;16.47866719;22.92989881;38.76854143;44.21395609;26.99245967;50.80091108;56.49403024;32.39997639;43.54954434;53.79063582;28.0175552;-12.03236965;7.25136674;-4.781002909;-12.28007415;2.70339442;-9.576679727;-5.407516713;4.382421187;-1.025095525
0145palmer_sem2_num13;50;-4.709609996;17.93443516;22.64404515;35.74409617;34.80961726;23.20129191;52.6668685;57.29606568;32.19898969;44.24257111;54.63981998;25.48282179;-16.92277233;8.424297384;-8.498474949;-22.48644842;2.6562457;-19.83020272;-8.997697782;6.716167895;-2.281529886
0147palmer_sem2_num14;50;-12.44312684;19.19946179;31.64258864;42.26617417;53.40440352;28.49882765;56.24732121;69.31203139;32.65974367;45.01363038;59.25444401;28.27263094;-13.98114704;11.23369082;-2.747456213;-15.90762788;10.05758739;-5.850040491;-4.16091603;4.387112738;0.226196708
0149palmer_sem2_num15;50;-11.19294099;18.42651565;29.61945664;34.8433047;40.03769602;25.51503268;54.95829996;65.77482164;34.31536515;48.26917881;64.90980614;27.03883677;-20.11499527;6.689121155;-13.42587411;-25.73712562;0.865015494;-24.87211013;-8.800332476;7.276528383;-1.523804093
0151palmer_sem2_num16;50;-16.78001853;16.890947;33.67096553;33.81741944;47.65080697;26.0580058;52.66270704;70.57753456;33.00422151;44.5867223;62.8325057;27.15988641;-18.8452876;8.075984736;-10.76930286;-22.92672759;7.745028856;-15.18169873;-6.946215709;5.844335097;-1.101880612
0153palmer_sem2_num17;50;-13.19798887;18.39531028;31.59329914;35.32411944;44.52525822;24.41211555;53.92789194;68.24881198;31.89338944;46.17089602;61.79269271;27.1840169;-18.6037725;7.75699592;-10.84677658;-23.72355376;6.456119266;-17.2674345;-7.481273891;4.709372548;-2.771901343
0155palmer_sem2_num18;50;-10.94302303;20.34899107;31.2920141;40.00587641;45.77094005;21.45972288;53.41311414;63.60373141;30.56122533;46.14962624;63.52422052;27.79521833;-13.40723772;7.263487899;-6.143749824;-17.83279137;0.079510889;-17.75328048;-9.101502449;2.766007;-6.335495449
0157palmer_sem2_num19;50;-6.650979764;19.53837956;26.18935932;42.42305766;39.26633847;26.9883359;54.54500162;62.38851763;32.2240334;47.67493138;61.43390504;29.31675636;-12.12194396;6.870070234;-5.251873722;-23.12217916;0.954612588;-22.16756657;-5.235697505;2.907277044;-2.328420461
0159palmer_sem2_num20;50;-11.55707723;18.69829238;30.25536961;44.20506437;47.56799306;30.90820386;51.13891824;62.72607133;31.93054645;48.17111612;66.76924498;27.77379038;-6.933853871;2.967802118;-3.966051753;-15.15807827;-4.043173648;-19.20125192;-1.022342587;4.156756068;3.134413482
0161palmer_sem2_num21;50;-6.888888908;16.58421374;23.47310264;42.38374573;44.77762423;27.29497234;51.42359598;58.88874057;33.20552225;41.96120606;54.75588904;26.46314716;-9.039850244;9.462389914;0.42253967;-14.11111634;4.132851529;-9.978264812;-5.910549915;6.742375096;0.831825181
0163palmer_sem2_num22;50;-9.866410955;11.5226322;21.38904315;34.07589243;39.84910013;26.88064801;45.85009031;55.61419915;32.94632333;41.02961497;55.39245013;27.82039507;-11.77419789;4.820475348;-6.953722539;-15.76509902;0.221749026;-15.54334999;-6.065675319;5.125928262;-0.939747058
0165palmer_sem2_num23;50;-8.05791877;17.38548136;25.44340013;36.26496101;40.07627665;26.06663939;49.94346305;57.84983254;31.03732616;47.42641688;59.4518787;27.73471541;-13.67850204;2.517046164;-11.16145588;-17.77355588;-1.602046166;-19.37560205;-4.970686769;3.302610745;-1.668076024
0167palmer_sem2_num24;50;-6.824613703;19.40695478;26.23156848;40.88573525;42.541839;26.65995772;56.32471265;64.39234631;32.56519945;43.71421354;54.3369685;27.07547317;-15.4389774;12.61049911;-2.82847829;-21.85050731;10.05537781;-11.7951295;-5.905241727;5.489726276;-0.415515451
0169palmer_sem2_num25;50;-5.458560854;18.43261133;23.89117218;40.80794225;44.30085197;24.64969527;53.52702545;58.1875983;31.79993304;42.49888553;51.43104971;27.17471101;-12.7190832;11.02813991;-1.690943282;-13.88674633;6.756548588;-7.130197746;-7.150237768;4.625222028;-2.52501574
0171palmer_sem2_num26;50;-14.33131167;20.62783923;34.95915089;37.10798634;49.54689745;25.16236798;55.5972568;70.06431986;31.63984125;51.93706056;68.53214037;29.05927466;-18.48927046;3.660196239;-14.82907422;-20.51742241;1.532179489;-18.98524292;-6.477473275;2.580566591;-3.896906684
0173palmer_sem2_num27;50;-6.700045091;21.17362059;27.87366568;49.90868946;55.73886235;32.57144071;55.6829958;62.16291478;31.78248565;49.8378531;59.99290675;30.82097456;-5.774306336;5.845142701;0.070836365;-6.424052436;2.170008028;-4.254044408;0.78895507;0.961511085;1.750466155
0175palmer_sem2_num28;50;-9.754967587;15.86325595;25.61822354;35.8731372;40.95938381;25.37486998;50.5914858;60.75724942;33.19614122;43.21367176;57.12534235;27.06907818;-14.71834861;7.377814042;-7.340534565;-19.79786561;3.631907074;-16.16595854;-7.821271241;6.127063034;-1.694208206
