ind;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
palmer_sem4_num15_;134.11990517839513;135.03326527753185;131.24967606993204;68.4583968802244;28.773373785659935;136.22434379187837;140.59183865352261;126.74544767598667;130.41337835924998
palmer_sem4_num16_;135.75816174277335;136.73953529413888;132.44846623424638;69.23571629430478;29.45035882643711;138.02030382612378;142.44113157784278;126.64473146317371;130.71785116173874
palmer_sem4_num17_;134.59986512542153;134.67324216517346;131.73338356244818;64.6234413290002;26.613351411126118;136.37815289700146;140.3439924661351;127.35953385327362;130.00329695894777
palmer_sem4_num18_;133.80509649415404;134.29796782791425;129.92864446025163;63.88360668264353;32.50163700921817;135.87055464798203;139.93397475226482;126.89434861897004;130.82554380175287
palmer_sem4_num19_;137.53808540724486;137.35239131667595;135.4815663781186;68.94334690005037;20.00412881761367;139.07835409812424;143.39792767364685;127.64760084112976;129.36042510051405
palmer_sem4_num1_;134.79721564705858;135.42392809204603;130.95500034494495;68.36696850463142;32.47496685392609;137.29964340621606;141.08794842280912;126.86812390265096;130.8196845942019
palmer_sem4_num20_;138.36792706636516;140.70260961992204;134.4157705354974;68.3941610761031;33.37438334119227;141.76472847811644;146.39570247194894;125.73590545584528;131.63965521918402
palmer_sem4_num21_;135.18157649203744;135.62628505935288;132.44411850498864;68.31854292699938;26.772621800161467;136.96959723606466;141.3300292857117;127.05923672620706;130.15020216116363
palmer_sem4_num22_;139.14761967914094;140.8692979712327;134.57425653765503;68.96401942653857;33.89592430597612;142.14742479642672;146.73740772444415;126.04581655494471;131.74464813497548
palmer_sem4_num23_;135.62108758229562;136.62816793950225;132.54172329233288;68.5565750408129;30.325828158043265;138.08754216365526;142.26861150852338;126.68042541978345;130.58953991381068
palmer_sem4_num24_;138.0951739303805;137.8854022381455;133.38839120258737;64.34693825664615;33.810149606010015;140.39770703169654;143.9266227927991;127.31070729113084;130.96950112034534
palmer_sem4_num25_;139.512192798086;141.3362510203225;135.8971665621785;69.10028759921912;30.315304882187355;142.4692303553312;147.14281844220642;126.10696579977208;131.21942783350482
palmer_sem4_num26_;135.63214248078134;136.8585152052612;131.95273445314285;69.20627957149134;32.167322954588926;138.3027328679591;142.5287409443587;126.46554530544482;131.03465923349444
palmer_sem4_num27_;135.70259636354382;134.82667137533224;133.12180747340463;73.51235059084934;24.391542090200975;137.0959138595518;140.78091546482946;128.02858984955486;129.3949422535419
palmer_sem4_num28_;133.73957136073068;136.17548402804567;130.58516617414335;67.83270143666766;31.508435968399922;137.2778280682906;141.69370080348722;125.76396569215822;131.25885269311556
palmer_sem4_num29_;134.03356224726366;134.78506021800519;129.89225656712603;66.04318403358268;32.740017525730124;136.66596834856898;140.408234130971;126.77537217770313;131.02061450541373
palmer_sem4_num2_;137.44859380246737;140.65558098547524;133.3797571978506;67.7138679968368;36.36006650850551;141.66552312961713;146.28192948008652;125.16312445076733;132.1351685351741
palmer_sem4_num30_;130.91355596681024;132.72678286286867;127.22237811723036;65.3201494605017;33.017078764208605;134.0481744041495;138.14192914853754;126.12488744637166;131.26874574679567
palmer_sem4_num31_;135.1979465284029;133.54571848565388;132.38149300197188;63.892596349031564;22.527363006633657;135.9141228653603;139.55707593655336;128.49271663880313;129.18685610282353
palmer_sem4_num32_;138.60503288028335;137.84267651244392;135.4910115615712;67.78420717704225;25.70206566188343;140.12977039841252;143.98421530948147;127.8507914811332;129.80399939629058
palmer_sem4_num33_;140.0721761235157;143.3985728545989;134.95928578317904;67.69615434978888;37.63488916479443;144.40294838038872;149.14274696939657;125.00231043323296;132.69944296419538
palmer_sem4_num34_;142.0632137513128;142.63562773611648;137.91777869539823;69.98753465077732;29.056043752546277;144.41072881390747;148.77620953427748;126.8813898254869;130.93650711122365
palmer_sem4_num35_;138.74280507977716;140.32281826247785;133.35389185496862;70.67914262099194;36.10993913855751;141.59334828987699;146.28889332070543;125.96934048094923;132.19682813660978
palmer_sem4_num36_;138.84483841842422;139.26591485419883;135.21703523863488;69.2280086731878;27.587880857142352;141.16589028943224;145.26883762047393;127.06614698314974;130.57518917270374
palmer_sem4_num37_;133.81747119765768;133.89419462171713;130.58687122346714;66.56762050633895;28.11807470055656;135.4560598226023;139.63217828695667;127.24229902102623;130.265610599387
palmer_sem4_num38_;141.15113429386537;142.47903968451718;137.9433251316819;71.16308694219394;26.780963477483148;143.8743407533329;148.4544688897641;126.51493282169852;130.74803328372377
palmer_sem4_num39_;135.87449310400416;136.56486424017453;132.28452463241598;66.85004147711442;29.903954720900494;138.06566620919602;142.46972301816308;126.7719785169646;130.78039185184292
palmer_sem4_num3_;137.4895154048604;139.09497159618627;133.74267999538287;66.9679367281718;30.36732953755805;140.2856272840042;144.80922620482895;126.25554510115704;131.16900509178885
palmer_sem4_num40_;138.53067450573525;137.67482148821517;134.34972173327117;64.95764249462377;28.682125640994727;139.9265883541238;143.88847199672426;127.73586847752699;130.41122038832088
palmer_sem4_num41_;136.36245812658964;134.28976955335327;132.9811444345761;69.77915306422719;25.537899008612683;137.27024684325167;140.48175073945475;128.67977711311693;129.3891648169135
palmer_sem4_num42_;134.77592439655848;136.1353181508452;131.01986653869096;67.8471302369113;32.17941215804684;137.4435202934778;141.75454118865562;126.37414835444531;131.13857070790283
palmer_sem4_num43_;137.19099111604973;137.93971052200325;134.9469034607464;65.5522139714524;23.38777083199374;139.0443379524695;143.75790004791276;126.9655786277935;129.95521562852758
palmer_sem4_num44_;133.75385018249705;134.96021520878878;127.53471747783422;67.2116180126886;40.88919168477407;136.61733795291605;140.73663854751624;126.09891862001493;132.54488252448775
palmer_sem4_num45_;136.4851064729974;136.39630294287855;133.36441621924294;62.24473699457198;25.348050536551213;138.0471616584207;142.28234319072038;127.41817987526613;130.07822209250503
palmer_sem4_num46_;137.07605650264702;137.43983144808095;132.7657790530693;67.77665759986212;30.944658276802556;139.39358413061376;143.43427660697444;126.95193206549891;130.99493154238826
palmer_sem4_num47_;135.5037117859082;137.93290813011726;131.31366123082597;67.99045088654191;35.39199277312453;139.0783068216932;143.50314285006215;125.63978200597636;131.8591984250418
palmer_sem4_num48_;137.59864964112333;138.7695892431663;134.11327985459175;67.47433372605703;29.407193323875816;140.08001588979266;144.59230245931212;126.52798826115612;130.87874164764446
palmer_sem4_num49_;136.57648012067938;136.37095979080934;131.86355184756516;60.132447182123784;31.24421245677668;138.66296283458541;142.38153011983098;127.35744199678675;130.87137763185154
palmer_sem4_num4_;135.33509241286401;136.70539100343473;131.82217043171494;67.98622983244384;30.328032827745176;138.01575269513415;142.46765588831022;126.39189186322946;131.00654555304607
palmer_sem4_num50_;136.02836245382872;137.56619001753972;130.85568802445025;66.33996372720016;36.01788701333248;138.98634263724566;143.3721403340853;126.08669249958027;132.00036459226396
palmer_sem4_num51_;132.2647573072506;133.27043458147577;128.35535234504493;66.26607144691107;29.786455933231167;134.55718109451806;138.88555210499007;126.59775401230104;131.0032157461884
palmer_sem4_num52_;133.7635852480567;133.14933252267377;130.90234818739816;65.61864899477024;25.10535803831054;134.91524128079507;138.9934159615948;127.76110172838614;129.71991463562208
palmer_sem4_num53_;135.549720488567;136.5593734762142;133.33406514122868;67.14401280002394;25.60612590355474;137.66467968906284;142.23127657973606;126.78926547608204;130.0629753039534
palmer_sem4_num54_;135.83891094750226;136.45253984951023;132.85442710565985;67.69083510940894;28.161190331227495;137.91533477741342;142.26196752338035;126.95086708993306;130.34973217092477
palmer_sem4_num55_;135.4215632937082;137.51287445500935;131.15264351159732;66.87451995165861;33.72529675309714;138.62103148688448;143.34340949248224;125.82970069498026;131.7312037673343
palmer_sem4_num56_;132.00696738495586;133.81805207819824;128.72146641330517;67.0297902913523;29.996055822804145;134.9114571611904;139.5062505637449;126.16726471072852;131.0020596225566
palmer_sem4_num57_;132.20897363035658;132.50974645209084;126.72627546452583;66.38923975033579;36.14718202330175;134.83071030074734;138.58470136365992;126.83598324148198;131.66792337132415
palmer_sem4_num58_;130.42183135163037;132.62767734187457;125.91662190197046;67.59660427963892;36.81186026114005;133.67742738518805;138.22016820920675;125.68516129579618;131.97276174286264
palmer_sem4_num59_;136.57946526170267;136.6899527090567;133.64041033039695;65.43342680335861;26.013825341997816;138.30692325098414;142.75135265292784;127.3013279151306;130.06815561748937
palmer_sem4_num5_;134.9272222880855;135.87355776186342;131.33855947207576;65.32719713724745;28.294273819506955;137.27795951574646;141.70230662097765;126.71842877702403;130.7575695594261
palmer_sem4_num60_;137.58173773983162;138.4234725191651;133.12282751682528;66.02969453843914;30.834807498410356;140.09379289484917;144.48683206273043;126.67387975510474;131.221581087954
palmer_sem4_num6_;138.59591084547003;140.68595349696002;133.6292039463931;65.7208671133759;34.79539798829019;141.85425362850793;146.7003337649052;125.77013702462348;132.10356906913543
palmer_sem4_num7_;129.68973131358595;130.84778641368027;125.1511818214699;66.66207619219216;35.58772063636867;132.36567976140083;136.59390985796756;126.35165166658629;131.5460360805684
palmer_sem4_num8_;129.12157742640284;129.09771480132957;124.02311530023826;67.20226821934298;35.450121718669635;131.5933194607428;135.04334199379502;127.13239345890668;131.26421683773256
palmer_sem4_num9_;131.3635869281282;132.29985098714528;129.02415917723158;66.44849559363568;24.308212273296398;133.53212118127;138.13225383435855;126.87009703780507;130.03628482827324
palmer_sem5_num10_;126.68241789529571;127.34006017781745;122.0642790617766;67.77147608627507;37.34763060239662;129.4979575688729;132.84250568656765;126.74606263239633;131.2907695866198
palmer_sem5_num11_;130.35262808558593;130.8799211588206;126.2678611137903;66.67880900679083;33.470063107058394;132.7074913214846;136.52171366848137;126.88363196744076;130.91554475844478
palmer_sem5_num12_;130.16008745637396;129.81871989267188;126.55211059961027;69.61141179367785;30.179264886661592;132.0195064117334;135.72830458345834;127.48994290212762;130.29486642147668
palmer_sem5_num13_;130.58220366664165;130.39815172039323;127.31981347410657;77.22303239624414;29.180575035454538;132.5904869215642;136.15207915269025;127.46950773458039;130.07209516192987
palmer_sem5_num14_;130.06033893126465;129.25400828225023;126.93826934437695;78.00978557933777;29.33742240972044;131.89162754500137;135.0440070174522;127.9004466366866;129.75837872875408
palmer_sem5_num15_;131.39870114843214;132.201179159031;127.68407028191265;64.91883848004544;32.185253616005085;133.6216043577818;137.78799484525035;126.7203790832994;130.8501778084991
palmer_sem5_num16_;130.5361685907672;130.2676095216853;127.61464294517317;73.88206472863439;28.27204231502915;132.40929701342452;135.92541115982758;127.58985692265375;129.84631517896054
palmer_sem5_num17_;127.3315419361479;127.99260919236897;123.72616556217312;79.73482144691108;32.20835524124264;129.9775521793374;133.44198464671388;126.94750937491068;130.5794625267025
palmer_sem5_num18_;130.6279336225512;129.62852912697008;127.34576608581962;78.92758813621685;28.16332123123678;132.1750646799626;135.3726069306913;128.03458170461283;129.69728189546004
palmer_sem5_num19_;133.836820709689;134.12864890881306;130.33701506214814;67.19959740797897;28.584824243309185;135.76684550776787;139.91033156909077;127.11475996410788;130.46690543776077
palmer_sem5_num1_;129.63466426254575;130.44904744968494;126.4199246658165;67.15391629135766;30.411025366065815;131.75155638253028;135.82519882892876;126.77035272682862;130.5954315227409
palmer_sem5_num20_;131.2430131351452;132.09190029343054;128.80816025247736;67.66030555868127;26.46349210176612;133.6048495777334;137.51493084021882;126.92290246699247;130.08755048028837
palmer_sem5_num21_;131.13132412966715;130.9871851289223;128.24787585376657;66.18952643974873;26.13554744432656;132.50854804758944;136.61574992252696;127.43656644398183;129.9523231984275
palmer_sem5_num22_;131.1482144021312;130.46467992907307;128.12085223274246;72.93165555586813;28.753987434851183;132.72728964723188;136.18550238938542;127.81631111106645;129.76665548107425
palmer_sem5_num23_;131.4493750636306;129.9398528815515;127.76450967810499;71.5115315699392;28.99423403362733;132.879002142454;136.026805485227;128.2317631306799;129.84391116965128
palmer_sem5_num24_;132.44541924873008;134.08978642662964;128.07976382324892;69.93219571839634;35.34522463951582;135.36382956171232;139.66363131885504;126.07562529359389;131.62794037632708
palmer_sem5_num25_;126.73217628315044;126.45898504479595;121.82494399947667;64.52007088227309;36.19568161338664;128.6823153886067;132.01448615152214;127.24553860078731;131.12104753407922
palmer_sem5_num26_;128.44439663775827;127.96446795044889;126.15429040030577;69.0552176993134;25.905528127411266;129.95900103101854;133.30790503231094;127.800099313995;129.36881393202373
palmer_sem5_num27_;135.53953021293262;134.7653125122796;132.01096531327698;73.66560110502937;26.88399722950067;137.1290105986279;140.64074081888361;127.92001327423947;129.84355383351016
palmer_sem5_num28_;128.7538141530564;128.8464782742752;125.94785579895941;67.33152072594272;28.152501989293977;130.46593244750585;134.27203525426347;127.32981684876185;129.9792512004976
palmer_sem5_num29_;130.1054025239251;128.06272329322596;128.9427002957819;85.27129510182685;17.9991670250075;130.72880497685185;133.87644187533044;129.03630771296832;127.90211261457975
palmer_sem5_num2_;137.13936168110746;138.626574801919;130.8838338271962;68.59476234076718;37.18603337012746;139.92996504669816;144.5998942615455;125.9353743467257;132.5910052878158
palmer_sem5_num30_;130.19091877808677;129.41337598705599;127.19918238566137;68.85640721785515;27.299002830111167;131.45696362851686;135.07338552383402;127.85471629006273;129.72352801734144
palmer_sem5_num31_;131.30709762119733;131.84690870189974;126.57351437583054;67.80797075603888;32.72403044803097;133.68951368571743;137.55473689745156;126.8015564829997;131.26430005987976
palmer_sem5_num32_;131.84992847695545;132.49508721413108;127.09703021404893;67.42516696338626;32.79353958360125;134.29577806958557;138.21928329711972;126.75440240135245;131.28712134760266
palmer_sem5_num33_;131.47882987715434;132.2240124332243;127.73371832088404;68.87428041588076;31.83771868279714;134.0435530330588;137.86375679632448;126.7940362093925;130.83672146825526
palmer_sem5_num34_;132.77118118069845;132.90430524744943;129.12041482807678;68.90760240175433;29.877355170021005;134.7070136120399;138.60161703255386;127.19595840656436;130.48764285073196
palmer_sem5_num35_;128.7955991503415;127.05510637364435;126.20684660958219;70.17836130401234;24.982571965109884;129.67380875673365;132.69043593892889;128.60879908711274;128.97258751219027
palmer_sem5_num36_;132.1287107533061;130.94837662112946;127.32685866702568;66.58305874490063;31.695021315035742;133.39352390479434;136.95864051850242;127.8666951720661;130.60476295251414
palmer_sem5_num37_;133.05144030130992;131.69299922013425;129.79183682274697;66.13398358240812;25.936547159440014;133.92773415173468;137.5180531777799;128.24946999604373;129.5404748764003
palmer_sem5_num38_;132.74249574567938;133.3449241802144;130.58430515144534;65.53302936876644;23.00276625728738;134.79801373684518;139.04991090597494;127.12059840798432;129.79508058873276
palmer_sem5_num39_;131.76635153325222;132.91565050248093;128.88436851972415;66.78234631643483;28.510764430307287;134.24923311154157;138.4605317431931;126.6388439567437;130.5018011650431
palmer_sem5_num3_;134.91724514710506;133.02407361079855;130.65816547688578;68.41134706348058;29.60490707027678;136.309050690381;139.35483509511994;128.43640717208575;129.99631707113411
palmer_sem5_num40_;128.26695465660006;127.03496407437771;125.1673152245067;76.23554089148948;28.69125800182899;129.66106457703725;132.6846713400563;128.16772592105872;129.55046798085098
palmer_sem5_num41_;131.64440479810565;131.01714080405878;129.56406829931663;82.37977798943331;24.8421080231285;133.3023143571209;136.66767571427042;127.951265227811;129.15903434177812
palmer_sem5_num42_;130.15563233649834;130.32130681209276;126.41310901755222;70.88264206483802;30.89326028427033;132.17630249079252;135.8462563485493;127.1717746143315;130.53835184649347
palmer_sem5_num43_;131.75249289681392;133.60185715440315;126.55660939576369;66.6682240538909;36.6124568986304;134.906941424781;139.12576141845815;125.8972349092739;132.11815172709117
palmer_sem5_num44_;131.4148670086645;131.07402671391856;127.78915043862705;72.38704597323138;29.269710085519545;133.40999427101195;136.7969850418935;127.55527999033706;130.23683273252635
palmer_sem5_num45_;130.9567775368745;129.858592762051;128.26649969769875;71.84493936225601;23.90691443758573;132.11952196216276;135.69614971703353;128.12222355623248;129.366187383009
palmer_sem5_num46_;134.32130254214357;134.22427827253375;128.30899102272483;66.95412804734832;37.40323332275056;137.12611403811943;140.32712719938664;127.10339280116706;131.73879810921068
palmer_sem5_num47_;132.40159639725687;132.1980960603495;129.8884106545782;71.00644265564273;24.146943185228057;133.85958886026629;137.7820394661637;127.58521679955419;129.6344914272816
palmer_sem5_num48_;125.76369168979696;124.35632304683034;119.73823933193657;65.80351934794918;39.631802726783974;127.73307464697288;130.06690708992411;127.92976271250393;131.19875248829197
palmer_sem5_num49_;134.53817797862723;136.21597991929406;130.20970663830303;69.91683972519611;33.43628574366106;137.43467921015878;141.93414873176368;126.05985419435156;131.62201946382388
palmer_sem5_num4_;131.82867253028368;130.74179496190658;128.7399679078432;72.02114272324746;26.913750207636745;133.18678135008315;136.62363495584705;128.07334957811787;129.60572374690105
palmer_sem5_num50_;132.65642598888675;133.86590715712697;128.75427142833541;68.95561761773227;32.54572507198073;135.35104349186065;139.50101220122633;126.45522947097732;131.12565974901406
palmer_sem5_num51_;128.82056872486032;128.33250033043268;124.92215137455526;73.78449527302669;32.1412090899795;131.0014282003297;134.00448687936705;127.59365684254615;130.37144804415118
palmer_sem5_num52_;133.61980598355518;133.44617022953463;130.4867748789009;68.30596675445457;26.831518549105866;135.31904412972966;139.20385948707917;127.47812951554107;130.0409668136199
