;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy7_IMG_0219_20170816;119.82149982496;117.74664337339607;115.0565985394876;73.18091473363555;37.29507760255915;121.0478516183163;123.80573963781008;128.50863735371655;130.14117345125314
tommy7_IMG_0224_20170816;118.98775908823801;117.28877990192402;114.93745383989555;74.77855267587948;34.180444034529316;120.2498735760138;123.22668127714908;128.36646132955386;129.83715848220666
tommy7_IMG_0229_20170816;121.8184828407207;124.12772032044823;114.61702741876715;71.62000053137145;43.873234976030226;125.55370691872429;129.84961769163309;125.44118041713106;133.31160822250442
tommy7_IMG_0234_20170816;120.09069065116671;119.79107065990084;114.47633331815128;77.84765167306098;40.958209588530956;122.11112791182629;125.62964101616085;127.21901110878916;131.44846009445016
tommy7_IMG_0239_20170816;121.57030451826486;123.04293112979394;117.22307107696044;71.24839689920195;36.51600393706062;124.3405500498328;128.6856789922518;126.26133763610254;131.4367799135338
tommy7_IMG_0244_20170816;118.57106657861084;115.9194189698717;114.99540168333121;70.0769512942244;31.58821564348637;119.32464010747101;122.01492629118799;129.07317347759846;129.09614094828817
tommy7_IMG_0249_20170816;121.141276097483;116.63514138052984;116.39651619030779;76.96260495702589;34.387694084540755;121.93032218748213;123.30907455186184;130.13870569969563;129.07139980209766
tommy7_IMG_0254_20170816;122.75991164051784;120.68433928871242;115.46749245809755;70.74030615479967;39.052759045817616;123.62422236689815;127.14039258080419;128.17231025573702;131.58372309876185
tommy7_IMG_0259_20170816;119.89707413033692;114.62219612250658;115.2064572906843;82.72294364828032;34.90923790393161;120.51689599363785;121.31786266548426;130.68103105486608;128.77719254356353
tommy7_IMG_0264_20170816;118.86402790503901;119.37520222256157;111.14528811942728;69.89306395033151;44.184441488411636;121.3625978906786;125.40401701192415;126.51284439791596;132.83988929612482
tommy7_IMG_0269_20170816;115.5380436845386;112.32384338518447;109.59186061724823;69.17551975049655;40.6837958051126;116.393497252497;118.29118257164137;129.10348057234512;130.32414987264946
tommy7_IMG_0274_20170816;116.17049817860152;113.08546160997514;108.70071496252714;65.00331175027506;43.799886011892006;116.94152234796525;119.2611678986447;128.77678994037922;131.35119852171567
tommy7_IMG_0279_20170816;115.82809698020262;115.40874582717122;110.83552624528464;74.5126077366791;36.993804722329386;117.39995302497715;121.33733932711405;127.38389176454618;131.00368276141688
tommy7_IMG_0284_20170816;118.89438975560483;118.2606487509645;113.31110498247814;74.98783025405807;38.66396789132159;120.65916467290737;124.2817278435964;127.44073952394476;131.28679032886092
tommy7_IMG_0289_20170816;121.14900353339694;113.29234863057985;114.58813839368642;97.17694334597908;39.82586817835148;121.8255601280293;121.28676398355341;131.9413595875486;129.0790446856603
tommy7_IMG_0294_20170816;122.01363698979411;120.95344292981251;114.606948161812;68.00610474358425;39.29156597400834;123.30938221146977;127.25824384859396;127.50288068076273;132.0623024660101
